1438373905686-1194,61,54
Sat Aug 01 2015 19:52:02 GMT+0900 (Korea Standard Time),-490,75,573
Sat Aug 01 2015 19:52:03 GMT+0900 (Korea Standard Time),-490,75,572
Sat Aug 01 2015 19:52:03 GMT+0900 (Korea Standard Time),-490,74,573
Sat Aug 01 2015 19:52:03 GMT+0900 (Korea Standard Time),-490,75,574
Sat Aug 01 2015 19:52:03 GMT+0900 (Korea Standard Time),-489,76,572
Sat Aug 01 2015 19:52:04 GMT+0900 (Korea Standard Time),-490,76,572
Sat Aug 01 2015 19:52:04 GMT+0900 (Korea Standard Time),-490,74,571
Sat Aug 01 2015 19:52:04 GMT+0900 (Korea Standard Time),-491,75,571
Sat Aug 01 2015 19:52:04 GMT+0900 (Korea Standard Time),-489,75,572
Sat Aug 01 2015 19:52:04 GMT+0900 (Korea Standard Time),-488,75,573
Sat Aug 01 2015 19:52:05 GMT+0900 (Korea Standard Time),-488,74,573
Sat Aug 01 2015 19:52:05 GMT+0900 (Korea Standard Time),-487,75,572
Sat Aug 01 2015 19:52:05 GMT+0900 (Korea Standard Time),-487,73,573
Sat Aug 01 2015 19:52:05 GMT+0900 (Korea Standard Time),-489,74,572
Sat Aug 01 2015 19:52:06 GMT+0900 (Korea Standard Time),-489,74,572
Sat Aug 01 2015 19:52:06 GMT+0900 (Korea Standard Time),-489,73,573
Sat Aug 01 2015 19:52:06 GMT+0900 (Korea Standard Time),-489,74,572
Sat Aug 01 2015 19:52:06 GMT+0900 (Korea Standard Time),-489,74,572
Sat Aug 01 2015 19:52:07 GMT+0900 (Korea Standard Time),-488,73,572
Sat Aug 01 2015 19:52:07 GMT+0900 (Korea Standard Time),-489,71,571
Sat Aug 01 2015 19:52:07 GMT+0900 (Korea Standard Time),-488,73,572
Sat Aug 01 2015 19:52:07 GMT+0900 (Korea Standard Time),-489,72,572
Sat Aug 01 2015 19:52:08 GMT+0900 (Korea Standard Time),-487,73,572
Sat Aug 01 2015 19:52:08 GMT+0900 (Korea Standard Time),-488,73,572
Sat Aug 01 2015 19:52:08 GMT+0900 (Korea Standard Time),-488,72,572
Sat Aug 01 2015 19:52:08 GMT+0900 (Korea Standard Time),-487,72,572
Sat Aug 01 2015 19:52:09 GMT+0900 (Korea Standard Time),-487,72,573
Sat Aug 01 2015 19:52:09 GMT+0900 (Korea Standard Time),-487,72,572
Sat Aug 01 2015 19:52:09 GMT+0900 (Korea Standard Time),-486,71,572
Sat Aug 01 2015 19:52:09 GMT+0900 (Korea Standard Time),-487,72,572
Sat Aug 01 2015 19:52:10 GMT+0900 (Korea Standard Time),-487,71,572
Sat Aug 01 2015 19:52:10 GMT+0900 (Korea Standard Time),-487,73,573
